commit	stage	primary_metric	status	description

smoke	candidate	0.000000	keep	smoke test candidate stage
smoke	action	0.000000	keep	smoke test action stage
working	candidate	0.6709677419354838	keep	distilbert-base-uncased 1 epoch on imported math candidate dev
working	candidate	0.0	discard	microsoft/deberta-v3-small 1 epoch on imported math candidate dev collapsed to all-O / NaN loss
working	candidate	0.6851063829787234	keep	distilbert-base-uncased 1 epoch on imported math candidate dev with fixed aligned export
working	candidate	0.05138004246284501	discard	spaCy en_core_web_sm candidate baseline on imported math dev
working	candidate	0.1479324403028538	discard	Presidio default analyzer candidate baseline on imported math dev
working	candidate	0.766595	keep	strict holdout test using frozen candidate_math_distilbert_v3 on imported math candidate test
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test
working	candidate	0.766595	keep	strict holdout test using frozen candidate_math_distilbert_v3 on imported math candidate test [20260311_014603_candidate-math-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_014603_candidate-math-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_014603_candidate-math-holdout]
working	candidate	0.708333	keep	distilbert-base-uncased 3 epochs on imported math candidate dev with recall-first checkpoint selection
working	candidate	0.000000	crash	bert-base-uncased 1 epoch on imported math candidate dev failed because the model is not cached locally
working	candidate	0.000000	discard	microsoft/deberta-v3-small 1 epoch lr=1e-5 on imported math candidate dev collapsed to all-O predictions
working	candidate	0.684000	discard	distilbert-base-uncased context-pair checkpoint-732 on imported math candidate dev improved recall but lowered F1
working	candidate	0.784394	keep	distilbert-base-uncased 3 epochs with recall-first checkpoint selection on imported math candidate test
working	candidate	0.740286	keep	roberta-base 3 epochs with recall-first checkpoint selection on imported math candidate dev
working	candidate	0.794926	keep	roberta-base 3 epochs with recall-first checkpoint selection on imported math candidate test
working	candidate	0.740741	keep	ModernBERT-base 1 epoch with recall-first checkpoint selection on imported math candidate dev
working	candidate	0.784394	keep	strict holdout test using frozen distilbert-base-uncased-privacy-recall on imported math candidate test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.784394	keep	strict holdout test using frozen distilbert-base-uncased-privacy-recall on imported math candidate test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	action	0.607920	keep	distilroberta-base 3 epochs on manual action train/dev reached 0.9050 test accuracy and 1.0000 redact recall
working	action	0.591289	keep	roberta-base 3 epochs on manual action train/dev reached 0.8858 test accuracy and 1.0000 redact recall
working	action	0.611873	keep	ModernBERT-base 3 epochs on manual action train/dev reached 0.9063 test accuracy and 0.9880 redact recall
working	action	0.602606	keep	distilroberta-base v2 rerun with probability export reached 0.8986 test accuracy and 0.9940 redact recall
working	action	0.608130	keep	roberta-base v2 rerun with probability export reached 0.9037 test accuracy and 1.0000 redact recall
working	action	0.613996	keep	ModernBERT-base v2 rerun with probability export reached 0.9089 test accuracy and 1.0000 redact recall
working	action	0.773472	keep	ModernBERT-base multiclass deferral on relabeled action test reached 0.9204 accuracy and 0.7735 macro F1 with composite policy at 5.0% actual review and 35.3% gold REVIEW coverage [20260311_192955_action-deferral-modernbert-v2-final]
working	action	0.797216	keep	roberta-base multiclass deferral on relabeled action test reached 0.9243 accuracy and 0.7972 macro F1 with review_probability policy at 6.3% actual review and 45.6% gold REVIEW coverage [20260311_192955_action-deferral-roberta-base-v2-final]
working	action	0.805868	keep	distilroberta-base multiclass deferral on relabeled action test reached 0.9230 accuracy and 0.8059 macro F1 with review_probability policy at 7.1% actual review and 51.5% gold REVIEW coverage [20260311_192955_action-deferral-distilroberta-v2-final]
working	action	0.739298	keep	ModernBERT-base binary deferral baseline on relabeled action test reached 0.9127 accuracy and 0.7393 macro F1 with asymmetric_confidence policy at 4.5% actual review and 27.9% gold REVIEW coverage [20260311_192955_action-deferral-modernbert-binary-v3]
working	action	0.675908	keep	roberta-base binary deferral baseline on relabeled action test reached 0.8960 accuracy and 0.6759 macro F1 with asymmetric_confidence policy at 4.0% actual review and 14.7% gold REVIEW coverage [20260311_192955_action-deferral-roberta-base-binary-v3]
working	action	0.714637	keep	distilroberta-base binary deferral baseline on relabeled action test reached 0.9024 accuracy and 0.7146 macro F1 with asymmetric_confidence policy at 5.3% actual review and 25.0% gold REVIEW coverage [20260311_192955_action-deferral-distilroberta-binary-v3]
working	action	0.773472	keep	ModernBERT-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9204 accuracy and 0.7735 macro F1 with composite policy at 5.0% actual review and 35.3% gold REVIEW coverage [20260311_193612_action-deferral-modernbert-v2-fixed]
working	action	0.797216	keep	roberta-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9243 accuracy and 0.7972 macro F1 with review_probability policy at 6.3% actual review and 45.6% gold REVIEW coverage [20260311_193612_action-deferral-roberta-base-v2-fixed]
working	action	0.805868	keep	distilroberta-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9230 accuracy and 0.8059 macro F1 with review_probability policy at 7.1% actual review and 51.5% gold REVIEW coverage [20260311_193612_action-deferral-distilroberta-v2-fixed]
working	action	0.739298	keep	ModernBERT-base binary deferral rerun with reduced composite search and lower-review tie-break reached 0.9127 accuracy and 0.7393 macro F1 with asymmetric_confidence policy at 4.5% actual review and 27.9% gold REVIEW coverage [20260311_193612_action-deferral-modernbert-binary-v3-fixed]
working	action	0.675908	keep	roberta-base binary deferral rerun with reduced composite search and lower-review tie-break reached 0.8960 accuracy and 0.6759 macro F1 with asymmetric_confidence policy at 4.0% actual review and 14.7% gold REVIEW coverage [20260311_193612_action-deferral-roberta-base-binary-v3-fixed]
